日期,股票代码,名称,收盘价,O/N,1W,1M,past_5d,past_15d,涨跌幅,成交量,now-avg_5d,now-avg_15d,O/N_td,1W_past_5d,1W_past_15d,1M_past_15d,predict_5d
2010/1/4,'000905,中证500,4510.527,1.1175,1.4225,1.7728,,,0.5634,51256734,,,,,,,0.007188074
2010/1/5,'000905,中证500,4557.475,1.115,1.4004,1.758,,,1.0409,57040745,,,-0.002237136,,,,0.018026868
2010/1/6,'000905,中证500,4550.279,1.1183,1.4002,1.7513,,,-0.1579,57875979,,,0.002959641,,,,0.008954396
2010/1/7,'000905,中证500,4459.155,1.0797,1.3942,1.7444,,,-2.0026,57873440,,,-0.034516677,,,,0.057173388
2010/1/8,'000905,中证500,4514.452,1.0608,1.3993,1.7463,,,1.2401,46573646,-7.8506,,-0.017504862,,,,0.051655439
2010/1/11,'000905,中证500,4542.949,1.0471,1.3696,1.7401,0.007188074,,0.6312,57089732,32.613,,-0.012914781,-0.037188049,,,0.062979576
2010/1/12,'000905,中证500,4639.632,1.0336,1.4354,1.7392,0.018026868,,2.1282,62061689,8.9856,,-0.012892751,0.024992859,,,0.041034289
2010/1/13,'000905,中证500,4591.024,1.0854,1.395,1.7426,0.008954396,,-1.0477,67898807,-90.2874,,0.050116099,-0.003713755,,,0.013079871
2010/1/14,'000905,中证500,4714.1,1.0475,1.4475,1.7448,0.057173388,,2.6808,67918483,-85.9794,,-0.034918003,0.038229809,,,-0.009946968
2010/1/15,'000905,中证500,4747.648,1.0283,1.415,1.7426,0.051655439,,0.7117,58513372,-104.1216,,-0.018329356,0.011219896,,,-0.044183562
2010/1/18,'000905,中证500,4829.062,1.0271,1.4042,1.7371,0.062979576,,1.7148,63284357,-64.6612,,-0.001166975,0.02526285,,,-0.072043391
2010/1/19,'000905,中证500,4830.016,1.0271,1.3613,1.7368,0.041034289,,0.0198,66154944,-151.346,,0,-0.051623241,,,-0.110896734
2010/1/20,'000905,中证500,4651.074,1.0275,1.4579,1.7375,0.013079871,,-3.7048,78086537,-40.28,,0.000389446,0.045089606,,,-0.082553191
2010/1/21,'000905,中证500,4667.209,1.0283,1.4125,1.7397,-0.009946968,,0.3469,50936676,2.6462,,0.000778589,-0.02417962,,,-0.070883477
2010/1/22,'000905,中证500,4537.88,1.0423,1.4813,1.7396,-0.044183562,,-2.771,60187183,126.0138,-84.95213333,0.013614704,0.046855124,,,-0.035970762
2010/1/25,'000905,中证500,4481.16,1.1879,1.3892,1.7431,-0.072043391,-0.006510769,-1.2499,41395083,196.5482,-139.7143333,0.139691068,-0.010682239,-0.02340949,-0.016753159,-0.033427505
2010/1/26,'000905,中证500,4294.383,1.1958,1.5396,1.7467,-0.110896734,-0.057727579,-4.1681,41520282,124.7328,-308.9518667,0.006650391,0.130977742,0.099400171,-0.006427759,0.001719688
2010/1/27,'000905,中证500,4267.113,1.315,1.5483,1.7563,-0.082553191,-0.06223047,-0.635,32924152,217.66,-317.3441333,0.099682221,0.062006996,0.105770604,0.002855022,0.022489679
2010/1/28,'000905,中证500,4336.381,1.3588,1.8508,1.8074,-0.070883477,-0.027533019,1.6233,32127330,154.4966,-239.8912,0.033307985,0.310300885,0.327499641,0.03611557,0.016617544
2010/1/29,'000905,中证500,4374.649,1.3592,1.8542,1.8129,-0.035970762,-0.030967878,0.8825,39888065,130.4228,-192.303,0.000294377,0.251738338,0.325091117,0.038137777,-0.014482533
2010/2/1,'000905,中证500,4331.366,1.3546,1.8208,1.8311,-0.033427505,-0.046573932,-0.9894,43095029,-26.3954,-221.4804667,-0.003384344,0.310682407,0.329439252,0.052295845,-0.004726454
2010/2/2,'000905,中证500,4301.768,1.3575,1.7892,1.8421,0.001719688,-0.072821293,-0.6833,38532505,-55.1424,-228.5542,0.002140853,0.162120031,0.246481817,0.059165133,0.002353218
2010/2/3,'000905,中证500,4363.079,1.3567,1.77,1.8511,0.022489679,-0.049650143,1.4253,48526679,-5.0676,-152.0468667,-0.000589319,0.143189304,0.268817204,0.062263285,0.00072678
2010/2/4,'000905,中证500,4408.441,1.3575,1.7792,1.8503,0.016617544,-0.064839312,1.0397,51873782,18.7884,-86.3076,0.000589666,-0.038685974,0.229153713,0.060465383,-0.011778313
2010/2/5,'000905,中证500,4311.293,1.3583,1.7292,1.8545,-0.014482533,-0.09190972,-2.2037,49670405,-11.8234,-154.3652667,0.000589319,-0.067414518,0.22204947,0.064214392,0.024337478
2010/2/8,'000905,中证500,4310.894,1.3567,1.8158,1.8539,-0.004726454,-0.107301998,-0.0093,31946076,-37.327,-120.2197333,-0.001177943,-0.002746046,0.293120638,0.067238501,0.025204285
2010/2/9,'000905,中证500,4311.891,1.405,1.8942,1.881,0.002353218,-0.107271901,0.0231,29896579,21.9594,-84.68106667,0.035601091,0.058685446,0.391464042,0.083026255,0.034152997
2010/2/10,'000905,中证500,4366.25,1.4992,1.8358,1.8975,0.00072678,-0.061238329,1.2607,25897196,66.6872,-11.3338,0.067046263,0.037175141,0.259208451,0.092086331,0.043522703
2010/2/11,'000905,中证500,4356.517,2.4967,2.7208,2.065,-0.011778313,-0.066569121,-0.2229,24485410,-20.076,-0.354,0.665354856,0.529226619,0.926230088,0.186986262,0.062767573
2010/2/12,'000905,中证500,4416.219,2.2538,2.4833,2.0106,0.024337478,-0.026810096,1.3704,24511379,-41.4602,67.45873333,-0.097288421,0.436097617,0.676432863,0.155782939,0.049465844
2010/2/22,'000905,中证500,4419.547,1.4313,1.4758,1.8679,0.025204285,-0.013749342,0.0754,31469426,-62.1938,74.89426667,-0.364939214,-0.187245291,0.062338036,0.071596581,0.06034985
2010/2/23,'000905,中证500,4459.155,1.4321,1.5996,1.8569,0.034152997,0.038369191,0.8962,38842110,-37.2876,103.5174667,0.000558932,-0.155527399,0.038971161,0.063090399,0.051834484
2010/2/24,'000905,中证500,4556.281,1.4375,1.65,1.8569,0.043522703,0.067766661,2.1781,48024568,-85.0268,181.3656,0.003770686,-0.101209282,0.065684945,0.057279508,0.044367983
2010/2/25,'000905,中证500,4629.965,1.4521,1.6829,1.8533,0.062767573,0.067702538,1.6172,55519410,-80.0144,235.4773333,0.010156522,-0.381468686,-0.090717528,0.025395596,-0.009382792
2010/2/26,'000905,中证500,4634.671,1.4315,1.6642,1.8561,0.049465844,0.059438369,0.1016,49530522,-120.3768,222.8485333,-0.014186351,-0.329843354,-0.102470068,0.023829224,-0.006491291
2010/3/1,'000905,中证500,4686.266,1.4295,1.6508,1.844,0.06034985,0.081937199,1.1132,53862437,-134.1126,250.7835333,-0.001397136,0.118579753,-0.093365554,0.007044946,-0.00676082
2010/3/2,'000905,中证500,4690.293,1.4242,1.718,1.8358,0.051834484,0.090317516,0.0859,56628861,-83.2142,228.9088667,-0.00370759,0.074018505,-0.039794321,-0.00342001,-0.006431794
2010/3/3,'000905,中证500,4758.434,1.4075,1.7388,1.8341,0.044367983,0.090613762,1.4528,63573551,-49.9608,270.6928667,-0.011725881,0.053818182,-0.017627119,-0.009183729,-0.033506822
